Course,Description ,Hours,Spring,Fall,Summer
CPSC 1301K,Computer Science I,4,,,
CPSC 1302,Computer Science II,3,,,
CPSC 2105,Computer Organization,3,,,
CYBR 2159,Fundamentals of Computer Networks,3,,,
CYBR 2160,Intro to Information Security,3,,,
MATH 2125,Introduction to Discrete Mathematics (One hour to Area G),3,,,
MATH 1113,Pre-Calculus,,,,
,,,,,
,,,,,
CPSC 2108,Data Structures,3,,,
CPSC 3125,Operating Systems,3,,,
CPSC 3131,Database Systems I,3,,,
CPSC 3165,Professionalism in Computing,3,,,
CPSC 3175,Object-Oriented Design,3,,,
CPSC 4000,Baccalaureate Survey,0,,,
MATH 5125U,Discrete Mathematics,3,,,
Math from Area A,,1,,,
One hour from Area F MATH 2125,,1,,,
Area G Total,,20,,,
CPSC 3111,COBOL Programming,3,,,
CPSC 3116,z/OS and JCL,3,,,
CPSC 3121,Assembly Language Programming I,3,,,
CPSC 3156,Transaction Processing,3,,,
CPSC 4135,Programming Languages,3,,,
CPSC 4175,Software Engineering,3,,,
CPSC 4176,Senior Software Engineering Project,3,,,
Select 9 credits from CPSC/CYBR courses (3000 level or above),,9,,,
Area H Total,,30,,,
,,,,,
Select 10 credits of General Electives,,10,,,